# ion_name: Ar
# ion_number: 18
# ion_mass: 36
# ion_charge: 18
# note: aris_PSv14k1_v3.1.0, rigidity: 6 T.m
# machine: ARIS
# segment: ARIS
# tags: GENERATED,PAC1
# app: Settings Manager
# version: 9.7
# user: tong
# name: 026-f24-0-1.000_1649872164.0012665
# timestamp: 1649872164.0012665
# datetime: 2022-04-13T13:49:24
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FS_F1S1:Q_D1013,I,QUAD,0.988163,479.122741890816,,,0.1,
FS_F1S1:Q_D1024,I,QUAD,1.976,-247.60047626466,,,0.1,
FS_F1S1:S_D1024,I,SEXT,2.375,-19.4314349811209,,,0.1,
FS_F1S1:OCT_D1024,I,OCT,2.375,1.38702881296588,,,0.1,
FS_F1S1:Q_D1035,I,QUAD,3.076,158.471815758322,,,0.1,
FS_F1S1:S_D1035,I,SEXT,3.475,25.6474218820336,,,0.1,
FS_F1S1:OCT_D1035,I,OCT,3.475,1.63862710008606,,,0.1,
FS_F1S1:DV_D1064,I,BEND,5.4,205.436532291304,,,0.1,
FS_F1S1:DV_D1108,I,BEND,9.770394999999999,-205.516524461801,,,0.1,
FS_F1S1:Q_D1137,I,QUAD,13.253346,196.331569245772,,,0.1,
FS_F1S1:S_D1137,I,SEXT,13.66379,40.0268149402629,,,0.1,
FS_F1S1:OCT_D1137,I,OCT,13.66379,5.74589730691664,,,0.1,
FS_F1S1:Q_D1148,I,QUAD,14.341046,-234.49071204057,,,0.1,
FS_F1S1:S_D1148,I,SEXT,14.75149,-29.0334977953444,,,0.1,
FS_F1S1:OCT_D1148,I,OCT,14.75149,4.8429160549036,,,0.1,
FS_F1S1:Q_D1170,I,QUAD,16.628346,124.814789715708,,,0.1,
FS_F1S1:S_D1170,I,SEXT,17.03879,0.0,,,0.1,
FS_F1S1:OCT_D1170,I,OCT,17.03879,0.0,,,0.1,
FS_F1S2:Q_D1195,I,QUAD,19.176396,39.034483562954,,,0.1,
FS_F1S2:S_D1195,I,SEXT,19.529274,4.6942299855784,,,0.1,
FS_F1S2:OCT_D1195,I,OCT,19.529274,1.68986256928715,,,0.1,
FS_F1S2:Q_D1207,I,QUAD,20.214626000000003,174.44834687784,,,0.1,
FS_F1S2:S_D1207,I,SEXT,20.651494,-0.564313465715238,,,0.1,
FS_F1S2:OCT_D1207,I,OCT,20.651494,-0.0863925241381366,,,0.1,
FS_F1S2:Q_D1218,I,QUAD,21.420836,-157.052989446939,,,0.1,
FS_F1S2:S_D1218,I,SEXT,21.773714,3.80799290873445,,,0.1,
FS_F1S2:OCT_D1218,I,OCT,21.773714,1.47691808871626,,,0.1,
FS_F1S2:DV_D1246,I,BEND,22.896268,-228.928077077125,,,0.1,
FS_F1S2:Q_D1288,I,QUAD,28.451154000000002,46.4543597879577,,,0.1,
FS_F1S2:S_D1288,I,SEXT,28.804032,-9.47843119907425,,,0.1,
FS_F1S2:OCT_D1288,I,OCT,28.804032,-1.41963906292377,,,0.1,
FS_F1S2:Q_D1299,I,QUAD,29.489384,-84.1695229731067,,,0.1,
FS_F1S2:S_D1299,I,SEXT,29.926252,7.70220691883277,,,0.1,
FS_F1S2:OCT_D1299,I,OCT,29.926252,1.48041405725554,,,0.1,
FS_F1S2:Q_D1311,I,QUAD,30.695594,51.2564310766108,,,0.1,
FS_F1S2:S_D1311,I,SEXT,31.048472,-8.77035931411219,,,0.1,
FS_F1S2:OCT_D1311,I,OCT,31.048472,-1.5638469431134,,,0.1,
FS_F1S2:Q_D1338,I,QUAD,33.458093,54.412963275143,,,0.1,
FS_F1S2:S_D1338,I,SEXT,33.810972,5.24037197758831,,,0.1,
FS_F1S2:OCT_D1338,I,OCT,33.810972,1.62933213903957,,,0.1,
FS_F1S2:Q_D1349,I,QUAD,34.496323000000004,-28.4428121037458,,,0.1,
FS_F1S2:S_D1349,I,SEXT,34.933192,-5.65995354261915,,,0.1,
FS_F1S2:OCT_D1349,I,OCT,34.933192,-1.63407629100143,,,0.1,
FS_F1S2:Q_D1361,I,QUAD,35.702533,-4.76603548853633,,,0.1,
FS_F1S2:S_D1361,I,SEXT,36.055412,3.48221051408873,,,0.1,
FS_F1S2:OCT_D1361,I,OCT,36.055412,1.5359286683367,,,0.1,
FS_F1S2:DV_D1402,I,BEND,38.472516999999996,228.928077077125,,,0.1,
FS_F1S2:Q_D1430,I,QUAD,42.763175000000004,0.0265693942286098,,,0.1,
FS_F1S2:Q_D1436,I,QUAD,43.358285,-1.11021585015434,,,0.1,
FS_F1S2:Q_D1446,I,QUAD,44.446786,7.44424933800941,,,0.1,
FS_F1S2:Q_D1452,I,QUAD,45.041896,-6.97967878063101,,,0.1,
