# ion_name: Kr
# ion_number: 36
# ion_mass: 86
# ion_charge: 17
# note: 86Kr36+, 20.8 MeV/u to the flagment target, viewer image test
# machine: FRIB
# segment: LINAC
# tags: GENERATED
# app: Settings Manager
# version: 9.5
# user: zhangt
# name: 004-f2-0-20.800_1638564730.2926
# timestamp: 1638564730.2926
# datetime: 2021-12-03T15:52:10
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FS1_CSS:QV_D2254,I,QUAD,225.233154,5.23942998231667,,,0.1,
FS1_CSS:QH_D2260,I,QUAD,225.883154,72.3852745434773,,,0.1,
FS1_CSS:QV_D2272,I,QUAD,227.083154,63.4013634353061,,,0.1,
FS1_CSS:QH_D2280,I,QUAD,227.871004,53.5597691483385,,,0.1,
FS1_CSS:QH_D2356,I,QUAD,235.448301,21.7535827949487,,,0.1,
FS1_CSS:QH_D2362,I,QUAD,236.073301,42.6152287847964,,,0.1,
FS1_CSS:QV_D2372,I,QUAD,237.073301,49.6264774199913,,,0.1,
FS1_CSS:QH_D2377,I,QUAD,237.573301,26.3165414177095,,,0.1,
FS1_BBS:DH_D2394,I,BEND,238.85817600000001,127.523933467059,,,0.1,
FS1_BBS:QH_D2416,I,QUAD,241.458828,143.826503265739,,,0.1,
FS1_BBS:S_D2419,I,SEXT,241.848828,0.0,,,0.1,
FS1_BBS:QV_D2424,I,QUAD,242.308828,64.4429138566987,,,0.1,
FS1_BBS:DH_D2435,I,BEND,242.962052,127.523933467059,,,0.1,
FS1_BBS:DH_D2453,I,BEND,244.772703,127.523933467059,,,0.1,
FS1_BBS:QV_D2463,I,QUAD,246.216579,64.4429138566987,,,0.1,
FS1_BBS:S_D2469,I,SEXT,246.776579,0.0,,,0.1,
FS1_BBS:QH_D2472,I,QUAD,247.066579,143.826503265739,,,0.1,
FS1_BBS:DH_D2494,I,BEND,248.87658000000002,127.523933467059,,,0.1,
FS1_BMS:QV_D2511,I,QUAD,250.952232,47.6123456058238,,,0.1,
FS1_BMS:QH_D2515,I,QUAD,251.402232,57.4450757621028,,,0.1,
FS1_BMS:QV_D2539,I,QUAD,253.727232,14.9149546931844,,,0.1,
FS1_BMS:QV_D2563,I,QUAD,256.177232,11.0283312468027,,,0.1,
FS1_BMS:QH_D2590,I,QUAD,258.825637,43.2200898356621,,,0.1,
FS1_BMS:QV_D2597,I,QUAD,259.575637,39.9728376093304,,,0.1,
FS1_BMS:QH_D2645,I,QUAD,264.39428,26.012937707216,,,0.1,
FS1_BMS:QV_D2654,I,QUAD,265.266685,39.8092698216745,,,0.1,
FS1_BMS:QH_D2666,I,QUAD,266.516685,32.9863347825336,,,0.1,
FS1_BMS:QV_D2679,I,QUAD,267.816685,27.5724046797286,,,0.1,
FS1_BMS:QH_D2693,I,QUAD,269.215685,36.725475374425,,,0.1,
FS1_BMS:QV_D2698,I,QUAD,269.715685,18.4817956964095,,,0.1,
LS2_CC01:SOL1_D2723,I,SOL,272.016009,48.7589760383953,,,0.1,
LS2_CC02:SOL1_D2762,I,SOL,275.996657,49.529339633464,,,0.1,
LS2_CC03:SOL1_D2802,I,SOL,279.977305,51.5625186864779,,,0.1,
LS2_CC04:SOL1_D2842,I,SOL,283.957953,53.1135974433524,,,0.1,
LS2_CC05:SOL1_D2882,I,SOL,287.938601,55.1900513186339,,,0.1,
LS2_CC06:SOL1_D2922,I,SOL,291.919249,56.9289735561436,,,0.1,
LS2_CC07:SOL1_D2961,I,SOL,295.899897,57.5816654941808,,,0.1,
LS2_CC08:SOL1_D3001,I,SOL,299.880545,59.517990393348,,,0.1,
LS2_CC09:SOL1_D3041,I,SOL,303.861193,61.4578064678949,,,0.1,
LS2_CC10:SOL1_D3081,I,SOL,307.841841,61.7172580043107,,,0.1,
LS2_CC11:SOL1_D3121,I,SOL,311.822489,63.0841281088788,,,0.1,
LS2_CC12:SOL1_D3161,I,SOL,315.803137,62.9804529319311,,,0.1,
LS2_CD01:SOL1_D3211,I,SOL,320.894994,56.544764256215,,,0.1,
LS2_CD02:SOL1_D3273,I,SOL,327.09806,55.0754803908584,,,0.1,
LS2_CD03:SOL1_D3336,I,SOL,333.301126,55.852006478816,,,0.1,
LS2_CD04:SOL1_D3398,I,SOL,339.504192,58.2999164241552,,,0.1,
LS2_CD05:SOL1_D3460,I,SOL,345.707258,59.8065987697549,,,0.1,
LS2_CD06:SOL1_D3522,I,SOL,351.910324,60.6695656555043,,,0.1,
LS2_CD07:SOL1_D3584,I,SOL,358.11339,63.0771037890352,,,0.1,
LS2_CD08:SOL1_D3646,I,SOL,364.316456,64.7653637325307,,,0.1,
LS2_CD09:SOL1_D3708,I,SOL,370.519522,65.8832267409725,,,0.1,
LS2_CD10:SOL1_D3770,I,SOL,376.722588,66.635761818562,,,0.1,
LS2_CD11:SOL1_D3832,I,SOL,382.925654,67.618250735736,,,0.1,
LS2_CD12:SOL1_D3894,I,SOL,389.12872,63.1201273209158,,,0.1,
FS2_BTS:QH_D3934,I,QUAD,393.270253,28.2410243405879,,,0.1,
FS2_BTS:QV_D3940,I,QUAD,393.845253,8.81591220034206,,,0.1,
FS2_BTS:QV_D3950,I,QUAD,394.845253,48.8905271986505,,,0.1,
FS2_BTS:QH_D3955,I,QUAD,395.345253,34.1470146796065,,,0.1,
FS2_BBS:DH_D3979,I,BEND,396.730253,-57.9177223694073,,,0.1,
FS2_BBS:QH_D3996,I,QUAD,399.467753,150.072984843611,,,0.1,
FS2_BBS:S_D4000,I,SEXT,399.917753,0.0,,,0.1,
FS2_BBS:QV_D4004,I,QUAD,400.167753,138.109696477228,,,0.1,
FS2_BBS:S_D4007,I,SEXT,400.68098299999997,0.0,,,0.1,
FS2_BBS:QH_D4014,I,QUAD,401.18775300000004,138.912389018879,,,0.1,
FS2_BBS:DH_D4034,I,BEND,402.24568200000004,-57.9177223694073,,,0.1,
FS2_BBS:DH_D4072,I,BEND,405.983182,-57.9177223694073,,,0.1,
FS2_BBS:QH_D4092,I,QUAD,409.048611,138.912389018879,,,0.1,
FS2_BBS:S_D4098,I,SEXT,409.785381,0.0,,,0.1,
FS2_BBS:QV_D4102,I,QUAD,409.99861100000004,138.109696477228,,,0.1,
FS2_BBS:S_D4106,I,SEXT,410.548611,0.0,,,0.1,
FS2_BBS:QH_D4109,I,QUAD,410.768611,150.072984843611,,,0.1,
FS2_BBS:DH_D4127,I,BEND,411.49861100000004,-57.9177223694073,,,0.1,
FS2_BMS:QH_D4151,I,QUAD,414.971111,16.3421743557002,,,0.1,
FS2_BMS:QV_D4156,I,QUAD,415.471111,0.0,,,0.1,
FS2_BMS:QV_D4166,I,QUAD,416.471111,75.5874531881102,,,0.1,
FS2_BMS:QH_D4172,I,QUAD,417.046111,65.7990685138056,,,0.1,
FS2_BMS:QH_D4218,I,QUAD,421.684284,78.1193891670161,,,0.1,
FS2_BMS:QV_D4226,I,QUAD,422.434284,81.3286672634955,,,0.1,
FS2_BMS:QH_D4286,I,QUAD,428.426111,63.2625664374511,,,0.1,
FS2_BMS:QV_D4296,I,QUAD,429.426111,60.5773987488515,,,0.1,
