# ion_name: Ar
# ion_number: 18
# ion_mass: 36
# ion_charge: 18
# note: FLAME: 36Ar18+, 19.8 MeV/u to 210 MeV/u to BDS
# machine: FRIB
# segment: LINAC
# tags: GENERATED,ARR07
# app: Settings Manager
# version: 9.5
# user: zhangt
# name: 003-f1-0-19.800_1642429409.6919575
# timestamp: 1642429409.6919575
# datetime: 2022-01-17T09:23:29
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FS1_CSS:QV_D2254,I,QUAD,225.233154,4.27907930097679,,,0.1,
FS1_CSS:QH_D2260,I,QUAD,225.883154,59.1175626050755,,,0.1,
FS1_CSS:QV_D2272,I,QUAD,227.083154,51.7803392440349,,,0.1,
FS1_CSS:QH_D2280,I,QUAD,227.871004,43.7426400011577,,,0.1,
FS1_CSS:QH_D2356,I,QUAD,235.448301,17.7666340769911,,,0.1,
FS1_CSS:QH_D2362,I,QUAD,236.073301,34.8048035610275,,,0.1,
FS1_CSS:QV_D2372,I,QUAD,237.073301,40.5310459965143,,,0.1,
FS1_CSS:QH_D2377,I,QUAD,237.573301,21.493303698414,,,0.1,
FS1_BBS:DH_D2394,I,BEND,238.85817600000001,104.15162795592,,,0.1,
FS1_BBS:QH_D2416,I,QUAD,241.458828,117.466298686619,,,0.1,
FS1_BBS:S_D2419,I,SEXT,241.848828,0.0,,,0.1,
FS1_BBS:QV_D2424,I,QUAD,242.308828,52.6319586129456,,,0.1,
FS1_BBS:DH_D2435,I,BEND,242.962052,104.15162795592,,,0.1,
FS1_BBS:DH_D2453,I,BEND,244.772703,104.15162795592,,,0.1,
FS1_BBS:QV_D2463,I,QUAD,246.216579,52.6319586129456,,,0.1,
FS1_BBS:S_D2469,I,SEXT,246.776579,0.0,,,0.1,
FS1_BBS:QH_D2472,I,QUAD,247.066579,117.466298686619,,,0.1,
FS1_BBS:DH_D2494,I,BEND,248.87658000000002,104.15162795592,,,0.1,
FS1_BMS:QV_D2511,I,QUAD,250.952232,38.8860598228597,,,0.1,
FS1_BMS:QH_D2515,I,QUAD,251.402232,46.9166688637285,,,0.1,
FS1_BMS:QV_D2539,I,QUAD,253.727232,12.1813746639583,,,0.1,
FS1_BMS:QV_D2563,I,QUAD,256.177232,9.00708299817579,,,0.1,
FS1_BMS:QH_D2590,I,QUAD,258.825637,35.2988070113763,,,0.1,
FS1_BMS:QV_D2597,I,QUAD,259.575637,32.6467040173662,,,0.1,
FS1_BMS:QH_D2645,I,QUAD,264.39428,18.3930668794902,,,0.1,
FS1_BMS:QV_D2654,I,QUAD,265.266685,34.6531700339599,,,0.1,
FS1_BMS:QH_D2666,I,QUAD,266.516685,43.7497632711601,,,0.1,
FS1_BMS:QV_D2679,I,QUAD,267.816685,36.8029454794391,,,0.1,
FS1_BMS:QH_D2693,I,QUAD,269.215685,90.4013252316516,,,0.1,
FS1_BMS:QV_D2698,I,QUAD,269.715685,88.7715248678799,,,0.1,
LS2_CC01:SOL1_D2723,I,SOL,272.016009,47.0829323686864,,,0.1,
LS2_CC02:SOL1_D2762,I,SOL,275.996657,48.258722166408,,,0.1,
LS2_CC03:SOL1_D2802,I,SOL,279.977305,48.9425703095852,,,0.1,
LS2_CC04:SOL1_D2842,I,SOL,283.957953,49.2278572215175,,,0.1,
LS2_CC05:SOL1_D2882,I,SOL,287.938601,48.9255162274084,,,0.1,
LS2_CC06:SOL1_D2922,I,SOL,291.919249,48.4208517371294,,,0.1,
LS2_CC07:SOL1_D2961,I,SOL,295.899897,48.2413107300894,,,0.1,
LS2_CC08:SOL1_D3001,I,SOL,299.880545,48.0571247268186,,,0.1,
LS2_CC09:SOL1_D3041,I,SOL,303.861193,47.7465010789523,,,0.1,
LS2_CC10:SOL1_D3081,I,SOL,307.841841,47.322975807773,,,0.1,
LS2_CC11:SOL1_D3121,I,SOL,311.822489,46.8494141787441,,,0.1,
LS2_CC12:SOL1_D3161,I,SOL,315.803137,49.4706681282419,,,0.1,
LS2_CD01:SOL1_D3211,I,SOL,320.894994,52.2082408924769,,,0.1,
LS2_CD02:SOL1_D3273,I,SOL,327.09806,52.0261493256462,,,0.1,
LS2_CD03:SOL1_D3336,I,SOL,333.301126,51.5208688133104,,,0.1,
LS2_CD04:SOL1_D3398,I,SOL,339.504192,50.977223844795,,,0.1,
LS2_CD05:SOL1_D3460,I,SOL,345.707258,50.5447454140181,,,0.1,
LS2_CD06:SOL1_D3522,I,SOL,351.910324,50.0533458544216,,,0.1,
LS2_CD07:SOL1_D3584,I,SOL,358.11339,49.5721146525085,,,0.1,
LS2_CD08:SOL1_D3646,I,SOL,364.316456,49.1063296673186,,,0.1,
LS2_CD09:SOL1_D3708,I,SOL,370.519522,48.6678695451582,,,0.1,
LS2_CD10:SOL1_D3770,I,SOL,376.722588,47.4528366438586,,,0.1,
LS2_CD11:SOL1_D3832,I,SOL,382.925654,47.1371405680287,,,0.1,
LS2_CD12:SOL1_D3894,I,SOL,389.12872,49.8081571537712,,,0.1,
FS2_BTS:QH_D3934,I,QUAD,393.270253,29.3925739422095,,,0.1,
FS2_BTS:QV_D3940,I,QUAD,393.845253,21.1141620143916,,,0.1,
FS2_BTS:QV_D3950,I,QUAD,394.845253,39.7531024124972,,,0.1,
FS2_BTS:QH_D3955,I,QUAD,395.345253,33.1648103045811,,,0.1,
FS2_BBS:DH_D3979,I,BEND,396.730253,-52.5603418922949,,,0.1,
FS2_BBS:QH_D3996,I,QUAD,399.467753,136.733539276073,,,0.1,
FS2_BBS:S_D4000,I,SEXT,399.917753,0.0,,,0.1,
FS2_BBS:QV_D4004,I,QUAD,400.167753,125.084215154828,,,0.1,
FS2_BBS:S_D4007,I,SEXT,400.68098299999997,0.0,,,0.1,
FS2_BBS:QH_D4014,I,QUAD,401.18775300000004,127.113455259521,,,0.1,
FS2_BBS:DH_D4034,I,BEND,402.24568200000004,-52.5603418922949,,,0.1,
FS2_BBS:DH_D4072,I,BEND,405.983182,-52.5603418922949,,,0.1,
FS2_BBS:QH_D4092,I,QUAD,409.048611,127.113455259521,,,0.1,
FS2_BBS:S_D4098,I,SEXT,409.785381,0.0,,,0.1,
FS2_BBS:QV_D4102,I,QUAD,409.99861100000004,125.084215154828,,,0.1,
FS2_BBS:S_D4106,I,SEXT,410.548611,0.0,,,0.1,
FS2_BBS:QH_D4109,I,QUAD,410.768611,136.733539276073,,,0.1,
FS2_BBS:DH_D4127,I,BEND,411.49861100000004,-52.5603418922949,,,0.1,
FS2_BMS:QH_D4151,I,QUAD,414.971111,7.45931513773643,,,0.1,
FS2_BMS:QV_D4156,I,QUAD,415.471111,2.72672357331038,,,0.1,
FS2_BMS:QV_D4166,I,QUAD,416.471111,45.3213007048776,,,0.1,
FS2_BMS:QH_D4172,I,QUAD,417.046111,35.2263096094869,,,0.1,
FS2_BMS:QH_D4218,I,QUAD,421.684284,80.5939009235068,,,0.1,
FS2_BMS:QV_D4226,I,QUAD,422.434284,75.3647985339811,,,0.1,
FS2_BMS:QH_D4286,I,QUAD,428.426111,65.1932490632359,,,0.1,
FS2_BMS:QV_D4296,I,QUAD,429.426111,54.6144558143813,,,0.1,
LS3_CD01:SOL1_D4358,I,SOL,435.587644,50.0693144158411,,,0.1,
LS3_CD02:SOL1_D4420,I,SOL,441.79071,49.636053406076,,,0.1,
LS3_CD03:SOL1_D4482,I,SOL,447.993776,51.0275155668519,,,0.1,
LS3_CD04:SOL1_D4544,I,SOL,454.196842,51.4090353383144,,,0.1,
LS3_CD05:SOL1_D4606,I,SOL,460.399908,51.0605522463544,,,0.1,
LS3_CD06:SOL1_D4669,I,SOL,466.602974,52.5619564235778,,,0.1,
LS3_BTS:QV_D4713,I,QUAD,471.167507,58.6244528435914,,,0.1,
LS3_BTS:QH_D4718,I,QUAD,471.667507,71.2193332943313,,,0.1,
LS3_BTS:QV_D4755,I,QUAD,475.347507,52.5074784593213,,,0.1,
LS3_BTS:QH_D4760,I,QUAD,475.847507,19.1093305678137,,,0.1,
LS3_BTS:QH_D4783,I,QUAD,478.199507,46.0117957907165,,,0.1,
LS3_BTS:QV_D4806,I,QUAD,480.449507,46.0313469945814,,,0.1,
LS3_BTS:QH_D4845,I,QUAD,484.403507,46.0117957907165,,,0.1,
LS3_BTS:QV_D4868,I,QUAD,486.653507,46.0313469945814,,,0.1,
LS3_BTS:QH_D4907,I,QUAD,490.607507,46.0117957907165,,,0.1,
LS3_BTS:QV_D4930,I,QUAD,492.857507,46.0313469945814,,,0.1,
LS3_BTS:QH_D4969,I,QUAD,496.811507,46.2885150055678,,,0.1,
LS3_BTS:QV_D4992,I,QUAD,499.061507,46.3081837921893,,,0.1,
LS3_BTS:QH_D5031,I,QUAD,503.015507,46.2885150055678,,,0.1,
LS3_BTS:QV_D5054,I,QUAD,505.265507,46.3081837921893,,,0.1,
LS3_BTS:QH_D5093,I,QUAD,509.219507,46.2885150055678,,,0.1,
LS3_BTS:QV_D5116,I,QUAD,511.469507,46.3081837921893,,,0.1,
LS3_BTS:QH_D5155,I,QUAD,515.423507,46.2885150055678,,,0.1,
LS3_BTS:QV_D5178,I,QUAD,517.673507,46.3081837921893,,,0.1,
LS3_BTS:QH_D5218,I,QUAD,521.627507,46.2885150055678,,,0.1,
LS3_BTS:QV_D5240,I,QUAD,523.877507,46.3081837921893,,,0.1,
LS3_BTS:QH_D5280,I,QUAD,527.831507,46.2885150055678,,,0.1,
LS3_BTS:QV_D5302,I,QUAD,530.081507,46.3081837921893,,,0.1,
LS3_BTS:QH_D5342,I,QUAD,534.035507,46.2885150055678,,,0.1,
LS3_BTS:QV_D5364,I,QUAD,536.285507,46.3081837921893,,,0.1,
LS3_BTS:QH_D5393,I,QUAD,539.160507,46.2885150055678,,,0.1,
LS3_BTS:QV_D5408,I,QUAD,540.660507,46.3081837921893,,,0.1,
LS3_BTS:QH_D5432,I,QUAD,543.090507,103.087960884011,,,0.1,
LS3_BTS:QV_D5440,I,QUAD,543.840507,88.2136878597614,,,0.1,
BDS_BTS:QH_D5471,I,QUAD,546.990507,39.1026032018968,,,0.1,
BDS_BTS:QV_D5479,I,QUAD,547.740507,0.00924562437994431,,,0.1,
BDS_BTS:QV_D5501,I,QUAD,549.990507,60.9977026897049,,,0.1,
BDS_BTS:QH_D5509,I,QUAD,550.740507,64.9666690694807,,,0.1,
BDS_BTS:QV_D5552,I,QUAD,555.048783,100.824714976792,,,0.1,
BDS_BTS:QH_D5559,I,QUAD,555.798783,118.405254551482,,,0.1,
BDS_BBS:DH_D5578,I,BEND,556.9487829999999,50.1338327719533,,,0.1,
BDS_BBS:S_D5606,I,SEXT,560.4966099999999,1.68914153945386,,,0.1,
BDS_BBS:QH_D5611,I,QUAD,560.89661,115.723591659219,,,0.1,
BDS_BBS:QV_D5621,I,QUAD,561.89661,69.3854089481254,,,0.1,
BDS_BBS:DH_D5641,I,BEND,563.24661,50.1338327719533,,,0.1,
BDS_BBS:DH_D5668,I,BEND,565.996862,50.1338327719533,,,0.1,
BDS_BBS:QV_D5688,I,QUAD,568.597115,69.3854089481254,,,0.1,
BDS_BBS:QH_D5698,I,QUAD,569.597115,115.723591659219,,,0.1,
BDS_BBS:S_D5703,I,SEXT,570.1971149999999,1.68914153945386,,,0.1,
BDS_BBS:DH_D5731,I,BEND,572.294689,50.1338327719533,,,0.1,
BDS_FFS:QH_D5750,I,QUAD,574.844941,107.241434632354,,,0.1,
BDS_FFS:QV_D5757,I,QUAD,575.594941,104.119343204818,,,0.1,
BDS_FFS:QH_D5777,I,QUAD,577.572878,56.5981143746819,,,0.1,
BDS_FFS:QV_D5784,I,QUAD,578.322878,13.9385944417684,,,0.1,
BDS_FFS:QH_D5810,I,QUAD,580.822941,0.0,,,0.1,
BDS_FFS:QV_D5815,I,QUAD,581.322941,95.3183791920186,,,0.1,
BDS_FFS:QH_D5821,I,QUAD,581.962941,150.296093114792,,,0.1,
