Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FE_ISRC1:BEAM:Z_BOOK,Z_BOOK,PV,-1.0,18.0,18.0,18.0,0.01,True
FE_ISRC1:BEAM:Q_BOOK,Q_BOOK,PV,-1.0,10.0,10.0,10.0,0.01,True
FE_ISRC1:BEAM:A_BOOK,A_BOOK,PV,-1.0,36.0,36.0,36.0,0.01,True
FE_ISRC1:PSX_D0679:V,V,PV,67.9,0.0,0.0,0.0,0.01,False
FE_ISRC1:PSB_D0679:V,V,PV,67.9,-40.0,-0.26,-40.0,0.01,False
FE_ISRC1:HVP_D0679:V,V,PV,67.9,15000.0,332.835,15000.0,0.01,False
FE_ISRC1:PSEL_D0679:V,V,PV,67.9,0.0,0.0,0.0,0.01,False
FE_ISRC1:PSOL_D0682:I,I,PV,68.2,493.0,0.014,493.0,0.01,False
FE_ISRC1:PSOL_D0685:I,I,PV,68.5,479.0,0.0,479.0,0.01,False
FE_ISRC1:DRV_D0686:POS,POS,PV,68.6,0.0,39.896,0.0,0.01,True
FE_ISRC1:PSE_D0686:V,V,PV,68.6,-400.0,12.014,-400.0,0.01,False
FE_ISRC1:SOLR_D0690:I,I,PV,69.0,81.45,0.0,81.45,0.01,True
FE_ISRC1:DCV_D0695:I,I,PV,69.5,-0.0,0.0,-0.0,0.01,True
FE_ISRC1:DCH_D0695:I,I,PV,69.5,0.0,0.0,0.0,0.01,True
FE_ISRC1:PSEL_D0698:V,V,PV,69.8,-2000.0,-7.787,-2000.0,0.01,False
FE_ISRC1:HVP_D0698:V,V,PV,69.8,28201.0,0.0,28201.0,0.01,False
FE_SCS1:SOLR_D0704,I,SOL,70.207,0.0,0.0,0.0,0.05,True
FE_SCS1:DCH_D0709,I,HCOR,70.9469,-0.0,0.0,-0.0,0.05,True
FE_SCS1:DCV_D0709,I,VCOR,70.9469,-0.0,0.0,-0.0,0.05,True
FE_SCS1:DH_D0717,I,BEND,71.1819,0.0,-0.004,0.0,0.1,True
FE_SCS1:DCH_D0723,I,HCOR,72.3442,-0.0,0.0,-0.0,0.05,True
FE_SCS1:DCV_D0723,I,VCOR,72.3442,0.0,0.0,0.0,0.05,True
FE_SCS1:QHE_D0726,V,EQUAD,72.5293,2737.7,7.508,2737.7,0.1,True
FE_SCS1:QVE_D0730,V,EQUAD,72.8643,-3771.1,-7.64,-3771.1,0.1,True
FE_SCS1:QHE_D0733,V,EQUAD,73.1993,1377.4,7.641,1377.4,0.1,True
FE_SCS1:STPC01_D0736:SLR.VAL,SLR.VAL,PV,73.6,19.997,19.997,19.997,0.01,True
FE_SCS1:STPC01_D0736:SLL.VAL,SLL.VAL,PV,73.6,8.002,8.002,8.002,0.01,True
FE_SCS1:STPC01_D0736:SLB.VAL,SLB.VAL,PV,73.6,30.008,30.008,30.008,0.01,True
FE_SCS1:STPC01_D0736:SLT.VAL,SLT.VAL,PV,73.6,30.001,30.001,30.001,0.01,True
FE_SCS1:QHE_D0743,V,EQUAD,74.1593,1377.4,7.439,1377.4,0.15,True
FE_SCS1:QVE_D0746,V,EQUAD,74.4943,-3771.1,-7.375,-3771.1,0.1,True
FE_SCS1:QHE_D0749,V,EQUAD,74.8293,2737.7,7.349,2737.7,0.5,True
FE_LEBT:DH_D0759,I,BEND,75.3819,0.0,-0.012,0.0,0.2,True
FE_LEBT:QVE_D0767,V,EQUAD,76.6043,-4355.8,-7.398,-4355.8,0.5,True
FE_LEBT:QHE_D0770,V,EQUAD,76.9393,3888.9,7.389,3888.9,0.2,True
FE_LEBT:DCH_D0773,I,HCOR,77.3394,0.0,0.0,0.0,0.05,True
FE_LEBT:DCV_D0773,I,VCOR,77.3394,-0.0,0.0,-0.0,0.05,True
FE_LEBT:QHE_D0776,V,EQUAD,77.5343,-3054.3,-7.662,-3054.3,0.1,True
FE_LEBT:QVE_D0780,V,EQUAD,77.8693,1127.5,7.636,1127.5,0.2,True
FE_LEBT:SOLR_D0787,I,SOL,78.482,0.0,0.048,0.0,0.14,True
FE_LEBT:DCH_D0790,I,HCOR,79.0025,0.0,0.0,0.0,0.05,True
FE_LEBT:DCV_D0790,I,VCOR,79.0025,0.0,0.0,0.0,0.05,True
FE_LEBT:SOLR_D0802,I,SOL,79.9571,0.0,0.0,0.0,0.15,True
