Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
LS1_CA01:CAV1_D1127,PHA,CAV,112.5901,130.4,162.112,-35.0,0.01,True
LS1_CA01:CAV1_D1127,PHA_CREST,CAV,112.5901,0.0,0.0,0.0,0.01,True
LS1_CA01:CAV1_D1127,AMP,CAV,112.5901,5.1,0.0,0.64,0.01,True
LS1_CA01:CAV1_D1127,AMP_COEF,CAV,112.5901,1.0,1.0,1.0,0.01,True
LS1_CA01:SOL1_D1132,I,SOL,113.0009,0.0,0.005,-71.861,0.01,False
LS1_CA01:DCV_D1132,I,VCOR,113.1574,0.0,-0.001,0.0,0.01,False
LS1_CA01:DCH_D1132,I,HCOR,113.1574,0.0,0.002,-0.0,0.01,False
LS1_CA01:CAV2_D1136,PHA,CAV,113.4318,-47.4,134.313,-35.0,0.01,True
LS1_CA01:CAV2_D1136,PHA_CREST,CAV,113.4318,0.0,0.0,0.0,0.01,True
LS1_CA01:CAV2_D1136,AMP,CAV,113.4318,5.1,0.0,0.7,0.01,True
LS1_CA01:CAV2_D1136,AMP_COEF,CAV,113.4318,1.0,1.0,1.0,0.01,True
LS1_CA01:CAV3_D1142,PHA,CAV,114.0653,46.3,28.519,-35.0,0.01,True
LS1_CA01:CAV3_D1142,PHA_CREST,CAV,114.0653,0.0,0.0,0.0,0.01,True
LS1_CA01:CAV3_D1142,AMP,CAV,114.0653,5.1,0.0,0.76,0.01,True
LS1_CA01:CAV3_D1142,AMP_COEF,CAV,114.0653,1.0,1.0,1.0,0.01,True
LS1_CA01:SOL2_D1146,I,SOL,114.4761,0.0,0.003,-79.397,0.01,False
LS1_CA01:DCV_D1146,I,VCOR,114.6326,0.0,0.001,0.0,0.01,False
LS1_CA01:DCH_D1146,I,HCOR,114.6326,0.0,0.0,-0.0,0.01,False
LS1_CA01:CAV4_D1150,PHA,CAV,114.907,-59.1,20.555,-35.0,0.01,True
LS1_CA01:CAV4_D1150,PHA_CREST,CAV,114.907,0.0,0.0,0.0,0.01,True
LS1_CA01:CAV4_D1150,AMP,CAV,114.907,5.1,0.0,0.82,0.01,True
LS1_CA01:CAV4_D1150,AMP_COEF,CAV,114.907,1.0,1.0,1.0,0.01,True
LS1_CA02:CAV1_D1161,PHA,CAV,115.9632,77.4,13.013,-35.0,0.01,True
LS1_CA02:CAV1_D1161,PHA_CREST,CAV,115.9632,0.0,0.0,0.0,0.01,True
LS1_CA02:CAV1_D1161,AMP,CAV,115.9632,5.1,0.0,0.88,0.01,True
LS1_CA02:CAV1_D1161,AMP_COEF,CAV,115.9632,1.0,1.0,1.0,0.01,True
LS1_CA02:SOL1_D1165,I,SOL,116.374,0.0,0.003,-87.471,0.01,False
LS1_CA02:DCV_D1165,I,VCOR,116.5305,0.0,0.0,0.0,0.01,False
LS1_CA02:DCH_D1165,I,HCOR,116.5305,0.0,0.001,-0.0,0.01,False
LS1_CA02:CAV2_D1169,PHA,CAV,116.8049,18.8,-89.865,-35.0,0.01,True
LS1_CA02:CAV2_D1169,PHA_CREST,CAV,116.8049,0.0,0.0,0.0,0.01,True
LS1_CA02:CAV2_D1169,AMP,CAV,116.8049,5.1,0.0,0.94,0.01,True
LS1_CA02:CAV2_D1169,AMP_COEF,CAV,116.8049,1.0,1.0,1.0,0.01,True
LS1_CA02:CAV3_D1176,PHA,CAV,117.4384,60.4,86.69,-35.0,0.01,True
LS1_CA02:CAV3_D1176,PHA_CREST,CAV,117.4384,0.0,0.0,0.0,0.01,True
LS1_CA02:CAV3_D1176,AMP,CAV,117.4384,5.1,0.0,1.0,0.01,True
LS1_CA02:CAV3_D1176,AMP_COEF,CAV,117.4384,1.0,1.0,1.0,0.01,True
LS1_CA02:SOL2_D1180,I,SOL,117.8492,0.0,0.003,-92.854,0.01,False
LS1_CA02:DCV_D1180,I,VCOR,118.0057,0.0,0.001,0.0,0.01,False
LS1_CA02:DCH_D1180,I,HCOR,118.0057,0.0,-0.001,-0.0,0.01,False
LS1_CA02:CAV4_D1184,PHA,CAV,118.2801,75.5,-68.268,-35.0,0.01,True
LS1_CA02:CAV4_D1184,PHA_CREST,CAV,118.2801,0.0,0.0,0.0,0.01,True
LS1_CA02:CAV4_D1184,AMP,CAV,118.2801,5.1,0.0,1.0,0.01,True
LS1_CA02:CAV4_D1184,AMP_COEF,CAV,118.2801,1.0,1.0,1.0,0.01,True
LS1_CA03:CAV1_D1195,PHA,CAV,119.3363,176.9,154.918,-35.0,0.01,True
LS1_CA03:CAV1_D1195,PHA_CREST,CAV,119.3363,0.0,0.0,0.0,0.01,True
LS1_CA03:CAV1_D1195,AMP,CAV,119.3363,5.1,0.0,1.0,0.01,True
LS1_CA03:CAV1_D1195,AMP_COEF,CAV,119.3363,1.0,1.0,1.0,0.01,True
LS1_CA03:SOL1_D1199,I,SOL,119.7471,0.0,0.01,-96.891,0.01,False
LS1_CA03:DCV_D1199,I,VCOR,119.9035,0.0,-0.0,0.0,0.01,False
LS1_CA03:DCH_D1199,I,HCOR,119.9035,0.0,-0.0,-0.0,0.01,False
LS1_CA03:CAV2_D1203,PHA,CAV,120.178,-53.5,-80.751,-35.0,0.01,True
LS1_CA03:CAV2_D1203,PHA_CREST,CAV,120.178,0.0,0.0,0.0,0.01,True
LS1_CA03:CAV2_D1203,AMP,CAV,120.178,5.1,0.0,1.0,0.01,True
LS1_CA03:CAV2_D1203,AMP_COEF,CAV,120.178,1.0,1.0,1.0,0.01,True
LS1_CA03:CAV3_D1209,PHA,CAV,120.8115,-135.8,32.53,-35.0,0.01,True
LS1_CA03:CAV3_D1209,PHA_CREST,CAV,120.8115,0.0,0.0,0.0,0.01,True
LS1_CA03:CAV3_D1209,AMP,CAV,120.8115,5.1,0.0,1.0,0.01,True
LS1_CA03:CAV3_D1209,AMP_COEF,CAV,120.8115,1.0,1.0,1.0,0.01,True
LS1_CA03:SOL2_D1214,I,SOL,121.2223,0.0,0.007,-103.62,0.01,False
LS1_CA03:DCV_D1214,I,VCOR,121.3788,0.0,0.0,0.0,0.01,False
LS1_CA03:DCH_D1214,I,HCOR,121.3788,0.0,-0.0,-0.0,0.01,False
LS1_CA03:CAV4_D1218,PHA,CAV,121.6532,-135.0,-70.803,-45.0,0.01,True
LS1_CA03:CAV4_D1218,PHA_CREST,CAV,121.6532,0.0,0.0,0.0,0.01,True
LS1_CA03:CAV4_D1218,AMP,CAV,121.6532,5.1,0.0,1.0,0.01,True
LS1_CA03:CAV4_D1218,AMP_COEF,CAV,121.6532,1.0,1.0,1.0,0.01,True
LS1_CB01:CAV1_D1229,PHA,CAV,122.7386,37.2,-22.393,-40.0,0.01,True
LS1_CB01:CAV1_D1229,PHA_CREST,CAV,122.7386,0.0,0.0,0.0,0.01,True
LS1_CB01:CAV1_D1229,AMP,CAV,122.7386,5.6,0.0,1.0,0.01,True
LS1_CB01:CAV1_D1229,AMP_COEF,CAV,122.7386,1.0,1.0,1.0,0.01,True
LS1_CB01:SOL1_D1235,I,SOL,123.2662,10.0,0.011,-61.614,0.01,False
LS1_CB01:DCV_D1235,I,VCOR,123.5162,5.0,0.001,0.0,0.01,False
LS1_CB01:DCH_D1235,I,HCOR,123.5162,5.0,-0.001,-0.0,0.01,False
LS1_CB01:CAV2_D1241,PHA,CAV,123.9409,6.0,65.614,-21.0,0.01,True
LS1_CB01:CAV2_D1241,PHA_CREST,CAV,123.9409,0.0,0.0,0.0,0.01,True
