# timestamp: 1602019327.6606479
# datetime: 2020-10-06T17:22:07
# name: 004-transport-0-16.522_1602019327.6606479
# note: Row 004, 16.522 MeV, transport-#0
# filepath: /user/zhangt/test_phantasy/phantasy-apps/phantasy_apps/settings_manager/contrib/settings_support_cavity_tuning/129Xe50_LS2/004-transport-0-16.522.csv
# user: zhangt
# ion_name: Xe
# ion_number: 54
# ion_mass: 129
# ion_charge: 50
# machine: FRIB
# segment: LINAC
# tags: LS2-phasing
# app: Settings Manager
# version: 4.1
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FE_MEBT:Q_D1057,I,QUAD,105.69535900000001,71.403647539397,91.081,91.07973,0.1,True
FE_MEBT:Q_D1060,I,QUAD,105.895359,100.898086378694,101.029,101.20502,0.1,True
FE_MEBT:Q_D1062,I,QUAD,106.145359,75.2854241089922,97.742,97.86672000000002,0.1,True
FE_MEBT:Q_D1074,I,QUAD,107.34956600000001,75.4623178519747,75.77,75.86985,0.1,True
FE_MEBT:Q_D1076,I,QUAD,107.549566,94.0161592694147,94.113,94.18661,0.1,True
FE_MEBT:Q_D1078,I,QUAD,107.799566,87.5060760376159,88.047,88.14176000000002,0.1,True
FE_MEBT:Q_D1095,I,QUAD,109.491838,66.9231140306132,85.825,85.90071,0.1,True
FE_MEBT:Q_D1098,I,QUAD,109.69183799999999,89.7373815026025,87.996,88.18432000000001,0.1,True
FE_MEBT:Q_D1100,I,QUAD,109.941838,74.8290268882045,67.56,67.65444000000001,0.1,True
FE_MEBT:Q_D1113,I,QUAD,111.20677500000001,18.595260855251,78.546,78.67881,0.1,True
FE_MEBT:Q_D1115,I,QUAD,111.406775,76.9963055944802,80.075,80.20964000000001,0.1,True
FE_MEBT:Q_D1117,I,QUAD,111.65677500000001,85.6136136570071,55.947,56.048860000000005,0.1,True
LS1_CA01:SOL1_D1132,I,SOL,113.00086,35.7929282110169,23.200979232788086,23.195200000000003,0.1,True
LS1_CA01:SOL2_D1146,I,SOL,114.47609899999999,38.1141421606327,23.21550178527832,23.195200000000003,0.1,True
LS1_CA02:SOL1_D1165,I,SOL,116.373955,37.7285891402018,23.185890197753906,23.195200000000003,0.1,True
LS1_CA02:SOL2_D1180,I,SOL,117.849194,41.3108483195121,23.196170806884766,23.195200000000003,0.1,True
LS1_CA03:SOL1_D1199,I,SOL,119.74705,39.8301549463118,23.187931060791016,23.195200000000003,0.1,True
LS1_CA03:SOL2_D1214,I,SOL,121.222289,39.6815149468069,23.184207916259766,23.195200000000003,0.1,True
LS1_CB01:SOL1_D1235,I,SOL,123.266203,31.8948016960712,50.000511169433594,50.0,0.1,True
LS1_CB01:SOL2_D1255,I,SOL,125.263929,33.0285672379526,49.99879455566406,50.0,0.1,True
LS1_CB01:SOL3_D1275,I,SOL,127.261655,35.6965036815761,49.99725341796875,50.0,0.1,True
LS1_CB02:SOL1_D1299,I,SOL,129.638628,38.4327373125974,49.99955368041992,50.0,0.1,True
LS1_CB02:SOL2_D1319,I,SOL,131.636354,35.8525900733436,49.998043060302734,50.0,0.1,True
LS1_CB02:SOL3_D1339,I,SOL,133.63408,42.2825395110106,50.00470733642578,50.0,0.1,True
LS1_CB03:SOL1_D1363,I,SOL,136.011052,41.9460381024661,49.993228912353516,50.0,0.1,True
LS1_CB03:SOL2_D1383,I,SOL,138.008778,42.7249643872682,50.001651763916016,50.0,0.1,True
LS1_CB03:SOL3_D1403,I,SOL,140.006504,45.3061350021784,50.003196716308594,50.0,0.1,True
LS1_CB04:SOL1_D1426,I,SOL,142.383477,47.4648904792268,49.99872589111328,50.0,0.1,True
LS1_CB04:SOL2_D1446,I,SOL,144.381203,41.5552549650666,50.026153564453125,50.0,0.1,True
LS1_CB04:SOL3_D1466,I,SOL,146.378929,49.6692389182884,50.00491714477539,50.0,0.1,True
LS1_CB05:SOL1_D1490,I,SOL,148.755901,46.4930966149818,50.00123977661133,50.0,0.1,True
LS1_CB05:SOL2_D1510,I,SOL,150.753627,47.3739595232698,49.99566650390625,50.0,0.1,True
LS1_CB05:SOL3_D1530,I,SOL,152.751353,48.0600641957577,49.9996223449707,50.0,0.1,True
LS1_CB06:SOL1_D1554,I,SOL,155.128326,50.0174575693714,50.00116729736328,50.0,0.1,True
LS1_CB06:SOL2_D1574,I,SOL,157.126052,43.4818917934676,49.992637634277344,50.0,0.1,True
LS1_CB06:SOL3_D1594,I,SOL,159.123778,50.7403554967258,50.000308990478516,50.0,0.1,True
LS1_CB07:SOL1_D1618,I,SOL,161.50075,48.1490554480647,50.00432586669922,50.0,0.1,True
LS1_CB07:SOL2_D1637,I,SOL,163.498476,45.7371766246054,50.00271224975586,50.0,0.1,True
LS1_CB07:SOL3_D1657,I,SOL,165.496202,49.5465848740396,50.00371170043945,50.0,0.1,True
LS1_CB08:SOL1_D1681,I,SOL,167.873175,48.8113503847594,50.00230026245117,50.0,0.1,True
LS1_CB08:SOL2_D1701,I,SOL,169.870901,44.7738800092018,50.005638122558594,50.0,0.1,True
LS1_CB08:SOL3_D1721,I,SOL,171.868627,48.8989114802913,50.00807571411133,50.0,0.1,True
LS1_CB09:SOL1_D1745,I,SOL,174.245599,47.9217010043084,50.000755310058594,50.0,0.1,True
LS1_CB09:SOL2_D1765,I,SOL,176.243325,43.9496675025984,50.02957534790039,50.0,0.1,True
LS1_CB09:SOL3_D1785,I,SOL,178.241051,47.8700487553161,50.006874084472656,50.0,0.1,True
LS1_CB10:SOL1_D1809,I,SOL,180.618024,46.5335987794163,49.99845504760742,50.0,0.1,True
LS1_CB10:SOL2_D1829,I,SOL,182.61575,43.950466272795,50.001888275146484,50.0,0.1,True
LS1_CB10:SOL3_D1849,I,SOL,184.613476,45.3740958652829,50.001304626464844,50.0,0.1,True
LS1_CB11:SOL1_D1872,I,SOL,186.990448,46.0622465105551,49.998558044433594,50.0,0.1,True
LS1_CB11:SOL2_D1892,I,SOL,188.988174,40.8243257381523,50.00315856933594,50.0,0.1,True
LS1_CB11:SOL3_D1912,I,SOL,190.9859,40.8173127538137,50.00508499145508,50.0,0.1,True
LS1_BTS:QH_D1942,I,QUAD,194.087949,40.1780417811293,0.001,100.0,0.1,True
LS1_BTS:QV_D1950,I,QUAD,194.837949,64.6666508327991,0.036,100.0,0.1,True
LS1_BTS:QH_D1969,I,QUAD,196.735949,71.0479260776913,0.0,100.0,0.1,True
LS1_BTS:QV_D1976,I,QUAD,197.485949,50.2868078638099,0.024,100.0,0.1,True
LS1_BTS:QH_D2002,I,QUAD,200.070949,104.02458114345,0.109,84.994550795497,0.1,True
LS1_BTS:QV_D2013,I,QUAD,201.207161,91.0448014941859,0.0,74.389263770189,0.1,True
LS1_BTS:QH_D2029,I,QUAD,202.777161,102.920307775911,0.081,84.092290793123,0.1,True
LS1_BTS:QV_D2042,I,QUAD,204.113373,114.605578635087,0.004,93.639883647448,0.1,True
LS1_BTS:QV_D2066,I,QUAD,206.432482,114.441988803326,0.124,103.17906936521,0.1,True
LS1_BTS:QH_D2073,I,QUAD,207.182482,81.4265844765423,0.022,75.647711821991,0.1,True
LS1_BTS:QV_D2118,I,QUAD,211.707551,60.7430085185957,0.041,100.0,0.1,True
LS1_BTS:QH_D2126,I,QUAD,212.457551,46.7356475783836,0.083,100.0,0.1,True
FS1_CSS:DH_D2163,I,BEND,216.170304,114.940070316782,-0.003753751516342163,100.0,0.1,True
FS1_CSS:DH_D2169,I,BEND,216.720304,114.940070316782,-0.003753751516342163,100.0,0.1,True
FS1_CSS:DH_D2174,I,BEND,217.27030399999998,114.940070316782,-0.003753751516342163,100.0,0.1,True
FS1_CSS:DH_D2180,I,BEND,217.820304,114.940070316782,-0.003753751516342163,100.0,0.1,True
FS1_CSS:QH_D2194,I,QUAD,219.295304,39.4642604409283,0.021,89.09372937857,0.1,True
FS1_CSS:QV_D2202,I,QUAD,220.083154,67.7751334792185,0.084,95.378261568783,0.1,True
FS1_CSS:QH_D2215,I,QUAD,221.333154,39.3811086484331,0.028,113.07484951106,0.1,True
FS1_CSS:QV_D2220,I,QUAD,221.833154,6.88885904849071e-07,0.026,100.0,0.1,True
FS1_CSS:QV_D2254,I,QUAD,225.233154,2.57595992267704,0.048,100.0,0.1,True
FS1_CSS:QH_D2260,I,QUAD,225.883154,21.9849611143732,0.0,100.0,0.1,True
FS1_CSS:QV_D2272,I,QUAD,227.083154,42.8184037994417,0.078,100.0,0.1,True
FS1_CSS:QH_D2280,I,QUAD,227.871004,29.2204975116479,0.033,100.0,0.1,True
