# ion_name: Xe
# ion_number: 54
# ion_mass: 129
# ion_charge: 28
# machine: FRIB
# segment: LINAC
# tags: FS1A-PHASE
# app: Settings Manager
# version: 9.3
# user: zhangt
# name: 006-f4-0-25.000_1635263078.9741313
# timestamp: 1635263078.9741313
# datetime: 2021-10-26T11:44:38
# note: Row 006, 25.000 MeV, f4-#0
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FE_MEBT:Q_D1057,I,QUAD,105.69535900000001,87.2027633579229,,,0.1,
FE_MEBT:Q_D1060,I,QUAD,105.895359,97.3075936049167,,,0.1,
FE_MEBT:Q_D1062,I,QUAD,106.145359,93.6850190522224,,,0.1,
FE_MEBT:Q_D1074,I,QUAD,107.34956600000001,72.7948490628194,,,0.1,
FE_MEBT:Q_D1076,I,QUAD,107.549566,90.6684140002413,,,0.1,
FE_MEBT:Q_D1078,I,QUAD,107.799566,84.4180579502575,,,0.1,
FE_MEBT:Q_D1095,I,QUAD,109.491838,64.5546681169032,,,0.1,
FE_MEBT:Q_D1098,I,QUAD,109.69183799999999,86.5415077943553,,,0.1,
FE_MEBT:Q_D1100,I,QUAD,109.941838,72.1837102436488,,,0.1,
FE_MEBT:Q_D1113,I,QUAD,111.20677500000001,17.9323500900836,,,0.1,
FE_MEBT:Q_D1115,I,QUAD,111.406775,74.251693159829,,,0.1,
FE_MEBT:Q_D1117,I,QUAD,111.65677500000001,82.590211835276,,,0.1,
LS1_CA01:SOL1_D1132,I,SOL,113.00086,34.4236481640201,,,0.1,
LS1_CA01:SOL2_D1146,I,SOL,114.47609899999999,36.5144216520244,,,0.1,
LS1_CA02:SOL1_D1165,I,SOL,116.373955,36.00896850312,,,0.1,
LS1_CA02:SOL2_D1180,I,SOL,117.849194,39.3137497564306,,,0.1,
LS1_CA03:SOL1_D1199,I,SOL,119.74705,37.830929425581,,,0.1,
LS1_CA03:SOL2_D1214,I,SOL,121.222289,37.6413263754388,,,0.1,
LS1_CB01:SOL1_D1235,I,SOL,123.266203,34.4520231856427,,,0.1,
LS1_CB01:SOL2_D1255,I,SOL,125.263929,37.2163137235651,,,0.1,
LS1_CB01:SOL3_D1275,I,SOL,127.261655,39.9961814891087,,,0.1,
LS1_CB02:SOL1_D1299,I,SOL,129.638628,44.255187658087,,,0.1,
LS1_CB02:SOL2_D1319,I,SOL,131.636354,41.9299394790837,,,0.1,
