# ion_name: Ar
# ion_number: 18
# ion_mass: 40
# ion_charge: 9
# machine: FRIB
# segment: LINAC
# tags: FS1A
# app: Settings Manager
# version: 9.5
# user: zhangt
# name: 003-f1-0-10.700_1636406102.7377148
# timestamp: 1636406102.7377148
# datetime: 2021-11-08T16:15:02
# note: Row 003, 10.700 MeV, f1-#0
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FE_MEBT:Q_D1057,I,QUAD,105.69535900000001,84.1610000821806,,,0.1,
FE_MEBT:Q_D1060,I,QUAD,105.895359,93.8832092058537,,,0.1,
FE_MEBT:Q_D1062,I,QUAD,106.145359,90.3570754099533,,,0.1,
FE_MEBT:Q_D1074,I,QUAD,107.34956600000001,70.2536475446115,,,0.1,
FE_MEBT:Q_D1076,I,QUAD,107.549566,87.480791899855,,,0.1,
FE_MEBT:Q_D1078,I,QUAD,107.799566,81.4758696855715,,,0.1,
FE_MEBT:Q_D1095,I,QUAD,109.491838,62.2985239066412,,,0.1,
FE_MEBT:Q_D1098,I,QUAD,109.69183799999999,83.498526497676,,,0.1,
FE_MEBT:Q_D1100,I,QUAD,109.941838,69.6636278785118,,,0.1,
FE_MEBT:Q_D1113,I,QUAD,111.20677500000001,17.2997995665647,,,0.1,
FE_MEBT:Q_D1115,I,QUAD,111.406775,71.6327614870846,,,0.1,
FE_MEBT:Q_D1117,I,QUAD,111.65677500000001,79.7033459395882,,,0.1,
LS1_CA01:SOL1_D1132,I,SOL,113.00086,29.6002232950971,,,0.1,
LS1_CA01:SOL2_D1146,I,SOL,114.47609899999999,31.5700114401583,,,0.1,
LS1_CA02:SOL1_D1165,I,SOL,116.373955,30.9513173819297,,,0.1,
LS1_CA02:SOL2_D1180,I,SOL,117.849194,32.3501226081126,,,0.1,
LS1_CA03:SOL1_D1199,I,SOL,119.74705,30.4709838625391,,,0.1,
LS1_CA03:SOL2_D1214,I,SOL,121.222289,33.4204275752951,,,0.1,
LS1_CB01:SOL1_D1235,I,SOL,123.266203,28.8488276105222,,,0.1,
LS1_CB01:SOL2_D1255,I,SOL,125.263929,27.6658257413459,,,0.1,
LS1_CB01:SOL3_D1275,I,SOL,127.261655,28.2924536839437,,,0.1,
LS1_CB02:SOL1_D1299,I,SOL,129.638628,30.3935593391496,,,0.1,
LS1_CB02:SOL2_D1319,I,SOL,131.636354,28.126599005663,,,0.1,
LS1_CB02:SOL3_D1339,I,SOL,133.63408,32.9633871531321,,,0.1,
LS1_CB03:SOL1_D1363,I,SOL,136.011052,32.6155305237074,,,0.1,
LS1_CB03:SOL2_D1383,I,SOL,138.008778,33.0419158438183,,,0.1,
LS1_CB03:SOL3_D1403,I,SOL,140.006504,34.9552227579187,,,0.1,
LS1_CB04:SOL1_D1426,I,SOL,142.383477,36.5747732073853,,,0.1,
LS1_CB04:SOL2_D1446,I,SOL,144.381203,31.8520752429952,,,0.1,
LS1_CB04:SOL3_D1466,I,SOL,146.378929,37.9193484768467,,,0.1,
LS1_CB05:SOL1_D1490,I,SOL,148.755901,35.4311140335874,,,0.1,
LS1_CB05:SOL2_D1510,I,SOL,150.753627,36.030055947369,,,0.1,
LS1_CB05:SOL3_D1530,I,SOL,152.751353,36.4761861033299,,,0.1,
LS1_CB06:SOL1_D1554,I,SOL,155.128326,37.7458531802052,,,0.1,
LS1_CB06:SOL2_D1574,I,SOL,157.126052,32.7854301855733,,,0.1,
LS1_CB06:SOL3_D1594,I,SOL,159.123778,38.2281985632852,,,0.1,
LS1_CB07:SOL1_D1618,I,SOL,161.50075,36.1041896114421,,,0.1,
LS1_CB07:SOL2_D1637,I,SOL,163.498476,34.2812271075512,,,0.1,
LS1_CB07:SOL3_D1657,I,SOL,165.496202,37.1139054787169,,,0.1,
LS1_CB08:SOL1_D1681,I,SOL,167.873175,36.5595101886413,,,0.1,
LS1_CB08:SOL2_D1701,I,SOL,169.870901,33.5045316454274,,,0.1,
LS1_CB08:SOL3_D1721,I,SOL,171.868627,36.5627329864611,,,0.1,
LS1_CB09:SOL1_D1745,I,SOL,174.245599,35.8299624023961,,,0.1,
LS1_CB09:SOL2_D1765,I,SOL,176.243325,32.8310963726979,,,0.1,
LS1_CB09:SOL3_D1785,I,SOL,178.241051,35.7552440006094,,,0.1,
LS1_CB10:SOL1_D1809,I,SOL,180.618024,34.7576574059404,,,0.1,
LS1_CB10:SOL2_D1829,I,SOL,182.61575,32.819842121487,,,0.1,
LS1_CB10:SOL3_D1849,I,SOL,184.613476,33.875740385584,,,0.1,
LS1_CB11:SOL1_D1872,I,SOL,186.990448,34.3840408255049,,,0.1,
LS1_CB11:SOL2_D1892,I,SOL,188.988174,30.5002493273116,,,0.1,
LS1_CB11:SOL3_D1912,I,SOL,190.9859,30.6252506573849,,,0.1,
LS1_BTS:QH_D1942,I,QUAD,194.087949,26.7156080127644,,,0.1,
LS1_BTS:QV_D1950,I,QUAD,194.837949,47.7054758209228,,,0.1,
LS1_BTS:QH_D1969,I,QUAD,196.735949,48.858385925756,,,0.1,
LS1_BTS:QV_D1976,I,QUAD,197.485949,27.9906156360641,,,0.1,
LS1_BTS:QH_D2002,I,QUAD,200.070949,76.5803092780358,,,0.1,
LS1_BTS:QV_D2013,I,QUAD,201.207161,67.0249183408619,,,0.1,
LS1_BTS:QH_D2029,I,QUAD,202.777161,75.7673706909821,,,0.1,
LS1_BTS:QV_D2042,I,QUAD,204.113373,84.3697764546667,,,0.1,
LS1_BTS:QV_D2066,I,QUAD,206.432482,91.1170114869153,,,0.1,
LS1_BTS:QH_D2073,I,QUAD,207.182482,70.1513846164073,,,0.1,
LS1_BTS:QV_D2118,I,QUAD,211.707551,50.158058662906,,,0.1,
LS1_BTS:QH_D2126,I,QUAD,212.457551,49.374259395165,,,0.1,
FS1_CSS:DH_D2163,I,BEND,216.170304,85.5467176436165,,,0.1,
