# ion_name: O
# ion_number: 8
# ion_mass: 16
# ion_charge: 7
# machine: FRIB
# segment: LINAC
# tags: GENERATED
# app: Settings Manager
# version: 9.5
# user: zhangt
# name: 003-f1-0-44.900_1637013487.529064
# timestamp: 1637013487.529064
# datetime: 2021-11-15T16:58:07
# note: Row 003, 44.900 MeV, f1-#0
Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FE_MEBT:Q_D1057,I,QUAD,105.69535900000001,43.5437131252928,,,0.1,
FE_MEBT:Q_D1060,I,QUAD,105.895359,48.3647938682774,,,0.1,
FE_MEBT:Q_D1062,I,QUAD,106.145359,46.7688856615649,,,0.1,
FE_MEBT:Q_D1074,I,QUAD,107.34956600000001,36.3110343244684,,,0.1,
FE_MEBT:Q_D1076,I,QUAD,107.549566,45.0593353204009,,,0.1,
FE_MEBT:Q_D1078,I,QUAD,107.799566,42.1446425117458,,,0.1,
FE_MEBT:Q_D1095,I,QUAD,109.491838,32.1812589265225,,,0.1,
FE_MEBT:Q_D1098,I,QUAD,109.69183799999999,43.0050780406465,,,0.1,
FE_MEBT:Q_D1100,I,QUAD,109.941838,36.0045778454928,,,0.1,
FE_MEBT:Q_D1113,I,QUAD,111.20677500000001,8.90864553110685,,,0.1,
FE_MEBT:Q_D1115,I,QUAD,111.406775,36.889422368173,,,0.1,
FE_MEBT:Q_D1117,I,QUAD,111.65677500000001,41.2266128172903,,,0.1,
LS1_CA01:SOL1_D1132,I,SOL,113.00086,17.0783983362578,,,0.1,
LS1_CA01:SOL2_D1146,I,SOL,114.47609899999999,18.1156813691802,,,0.1,
LS1_CA02:SOL1_D1165,I,SOL,116.373955,17.864914044403,,,0.1,
LS1_CA02:SOL2_D1180,I,SOL,117.849194,19.5044955067948,,,0.1,
LS1_CA03:SOL1_D1199,I,SOL,119.74705,18.7688328129262,,,0.1,
LS1_CA03:SOL2_D1214,I,SOL,121.222289,18.6747662509007,,,0.1,
LS1_CB01:SOL1_D1235,I,SOL,123.266203,17.9096481856707,,,0.1,
LS1_CB01:SOL2_D1255,I,SOL,125.263929,20.2204449630529,,,0.1,
LS1_CB01:SOL3_D1275,I,SOL,127.261655,21.315524431345,,,0.1,
LS1_CB02:SOL1_D1299,I,SOL,129.638628,24.1513412156447,,,0.1,
LS1_CB02:SOL2_D1319,I,SOL,131.636354,24.7225775882421,,,0.1,
LS1_CB02:SOL3_D1339,I,SOL,133.63408,30.6045460193298,,,0.1,
LS1_CB03:SOL1_D1363,I,SOL,136.011052,30.6286017283765,,,0.1,
LS1_CB03:SOL2_D1383,I,SOL,138.008778,31.8027703941385,,,0.1,
LS1_CB03:SOL3_D1403,I,SOL,140.006504,34.1374075588397,,,0.1,
LS1_CB04:SOL1_D1426,I,SOL,142.383477,36.0800316146244,,,0.1,
LS1_CB04:SOL2_D1446,I,SOL,144.381203,31.6737064317875,,,0.1,
LS1_CB04:SOL3_D1466,I,SOL,146.378929,37.9126472658987,,,0.1,
LS1_CB05:SOL1_D1490,I,SOL,148.755901,35.583777202385,,,0.1,
LS1_CB05:SOL2_D1510,I,SOL,150.753627,36.2899706988875,,,0.1,
LS1_CB05:SOL3_D1530,I,SOL,152.751353,36.8089355476492,,,0.1,
LS1_CB06:SOL1_D1554,I,SOL,155.128326,38.3240441975441,,,0.1,
LS1_CB06:SOL2_D1574,I,SOL,157.126052,33.3107355670288,,,0.1,
LS1_CB06:SOL3_D1594,I,SOL,159.123778,38.8571664397221,,,0.1,
LS1_CB07:SOL1_D1618,I,SOL,161.50075,36.8657920567413,,,0.1,
LS1_CB07:SOL2_D1637,I,SOL,163.498476,34.9969490600275,,,0.1,
LS1_CB07:SOL3_D1657,I,SOL,165.496202,37.8717984945292,,,0.1,
LS1_CB08:SOL1_D1681,I,SOL,167.873175,37.2920722327135,,,0.1,
LS1_CB08:SOL2_D1701,I,SOL,169.870901,34.1563763649354,,,0.1,
LS1_CB08:SOL3_D1721,I,SOL,171.868627,37.2524078611384,,,0.1,
LS1_CB09:SOL1_D1745,I,SOL,174.245599,36.4912910420943,,,0.1,
LS1_CB09:SOL2_D1765,I,SOL,176.243325,33.4169464336273,,,0.1,
LS1_CB09:SOL3_D1785,I,SOL,178.241051,36.3708275578359,,,0.1,
LS1_CB10:SOL1_D1809,I,SOL,180.618024,35.3099350318519,,,0.1,
LS1_CB10:SOL2_D1829,I,SOL,182.61575,33.3096499718899,,,0.1,
LS1_CB10:SOL3_D1849,I,SOL,184.613476,34.3505360757598,,,0.1,
LS1_CB11:SOL1_D1872,I,SOL,186.990448,34.8421101533431,,,0.1,
LS1_CB11:SOL2_D1892,I,SOL,188.988174,30.8316166956988,,,0.1,
LS1_CB11:SOL3_D1912,I,SOL,190.9859,30.9129762878495,,,0.1,
LS1_BTS:QH_D1942,I,QUAD,194.087949,21.6980391667794,,,0.1,
LS1_BTS:QV_D1950,I,QUAD,194.837949,42.7290539475198,,,0.1,
LS1_BTS:QH_D1969,I,QUAD,196.735949,54.8993068939738,,,0.1,
LS1_BTS:QV_D1976,I,QUAD,197.485949,34.5611637229308,,,0.1,
LS1_BTS:QH_D2002,I,QUAD,200.070949,79.1942890302357,,,0.1,
LS1_BTS:QV_D2013,I,QUAD,201.207161,69.3127359415949,,,0.1,
LS1_BTS:QH_D2029,I,QUAD,202.777161,78.3536017304075,,,0.1,
LS1_BTS:QV_D2042,I,QUAD,204.113373,87.2496406055078,,,0.1,
LS1_BTS:QV_D2066,I,QUAD,206.432482,94.227184654838,,,0.1,
LS1_BTS:QH_D2073,I,QUAD,207.182482,72.5459205056568,,,0.1,
LS1_BTS:QV_D2118,I,QUAD,211.707551,51.8701456339636,,,0.1,
LS1_BTS:QH_D2126,I,QUAD,212.457551,51.0595922902078,,,0.1,
FS1_CSS:DH_D2163,I,BEND,216.170304,89.9250142029457,,,0.1,
FS1_CSS:DH_D2169,I,BEND,216.720304,89.9250142029457,,,0.1,
FS1_CSS:DH_D2174,I,BEND,217.27030399999998,89.9250142029457,,,0.1,
FS1_CSS:DH_D2180,I,BEND,217.820304,89.9250142029457,,,0.1,
FS1_CSS:QH_D2194,I,QUAD,219.295304,37.5915840219154,,,0.1,
FS1_CSS:QV_D2202,I,QUAD,220.083154,52.6583688885829,,,0.1,
FS1_CSS:QH_D2215,I,QUAD,221.333154,21.6134675160512,,,0.1,
FS1_CSS:QV_D2220,I,QUAD,221.833154,1.18660873201769,,,0.1,
FS1_CSS:QV_D2254,I,QUAD,225.233154,0.845004937892811,,,0.1,
FS1_CSS:QH_D2260,I,QUAD,225.883154,16.8006864122217,,,0.1,
FS1_CSS:QV_D2272,I,QUAD,227.083154,46.2764468928357,,,0.1,
FS1_CSS:QH_D2280,I,QUAD,227.871004,34.4960839351535,,,0.1,
FS1_CSS:QH_D2356,I,QUAD,235.448301,62.6440565881008,,,0.1,
FS1_CSS:QH_D2362,I,QUAD,236.073301,80.2932197505884,,,0.1,
FS1_CSS:QV_D2372,I,QUAD,237.073301,11.1535160818692,,,0.1,
FS1_CSS:QH_D2377,I,QUAD,237.573301,24.8948164244864,,,0.1,
FS1_BTS:Q_D2409,I,QUAD,240.813181,99.7776959585143,,,0.1,
FS1_BTS:Q_D2415,I,QUAD,241.41618100000002,174.950468342411,,,0.1,
FS1_BTS:Q_D2422,I,QUAD,242.029181,140.975662927876,,,0.1,
