Name,Field,Type,Pos,Setpoint,Readback,Last Setpoint,Tolerance,Writable
FE_MEBT:Q_D1057,I,QUAD,105.69535900000001,68.5804884570199,0.0,68.58048845702,0.1,True
FE_MEBT:Q_D1060,I,QUAD,105.895359,76.0756658607038,0.0,76.075665860703,0.1,True
FE_MEBT:Q_D1062,I,QUAD,106.145359,73.6989157724889,0.0,73.698915772489,0.1,True
FE_MEBT:Q_D1074,I,QUAD,107.34956600000001,57.1061028779336,0.0,57.106102877933,0.1,True
FE_MEBT:Q_D1076,I,QUAD,107.549566,70.7964385412886,0.0,70.796438541289,0.1,True
FE_MEBT:Q_D1078,I,QUAD,107.799566,66.3636272047489,0.0,66.363627204749,0.1,True
FE_MEBT:Q_D1095,I,QUAD,109.491838,64.6726993661357,0.0,64.672699366135,0.1,True
FE_MEBT:Q_D1098,I,QUAD,109.69183799999999,66.2830069010519,0.0,66.283006901051,0.1,True
FE_MEBT:Q_D1100,I,QUAD,109.941838,50.911740953577,0.0,50.911740953577,0.1,True
FE_MEBT:Q_D1113,I,QUAD,111.20677500000001,59.2243054455502,0.0,59.224,0.1,True
FE_MEBT:Q_D1115,I,QUAD,111.406775,60.2852106535198,0.0,60.285,0.1,True
FE_MEBT:Q_D1117,I,QUAD,111.65677500000001,42.165906000849,0.0,42.168,0.1,True
LS1_CA01:SOL1_D1132,I,SOL,113.00086,30.2110982526419,0.005156174302101135,0.0,0.1,False
LS1_CA01:SOL2_D1146,I,SOL,114.47609899999999,33.31976378829,0.003230571746826172,0.0,0.1,False
LS1_CA02:SOL1_D1165,I,SOL,116.373955,36.3984888513827,0.0030931085348129272,0.0,0.1,False
LS1_CA02:SOL2_D1180,I,SOL,117.849194,39.3926811212052,0.002887379378080368,0.0,0.1,False
LS1_CA03:SOL1_D1199,I,SOL,119.74705,32.2532112547504,0.009758491069078445,0.0,0.1,False
LS1_CA03:SOL2_D1214,I,SOL,121.222289,33.9675358654726,0.0070074573159217834,0.0,0.1,False
LS1_CB01:SOL1_D1235,I,SOL,123.266203,26.7046631961799,0.010998081415891647,0.0,0.1,False
LS1_CB01:SOL2_D1255,I,SOL,125.263929,28.3291006411583,0.005908496677875519,0.0,0.1,False
LS1_CB01:SOL3_D1275,I,SOL,127.261655,32.4074015966728,0.0071458518505096436,0.0,0.1,False
LS1_CB02:SOL1_D1299,I,SOL,129.638628,33.1466599004313,0.009145587682723999,0.0,0.1,False
LS1_CB02:SOL2_D1319,I,SOL,131.636354,34.2272522268638,0.0054292380809783936,0.0,0.1,False
LS1_CB02:SOL3_D1339,I,SOL,133.63408,38.3961072910659,0.0061190687119960785,0.0,0.1,False
LS1_CB03:SOL1_D1363,I,SOL,136.011052,40.4467820680221,-0.0006183981895446777,0.0,0.1,False
LS1_CB03:SOL2_D1383,I,SOL,138.008778,38.8943101620456,6.873160600662231e-05,0.0,0.1,False
LS1_CB03:SOL3_D1403,I,SOL,140.006504,43.7035357885397,0.003712158650159836,0.0,0.1,False
LS1_CB04:SOL1_D1426,I,SOL,142.383477,43.3005099669747,0.003437791019678116,0.0,0.1,False
LS1_CB04:SOL2_D1446,I,SOL,144.381203,42.2950369739987,0.010173022747039795,0.0,0.1,False
LS1_CB04:SOL3_D1466,I,SOL,146.378929,46.7853584336414,0.005912128835916519,0.0,0.1,False
LS1_CB05:SOL1_D1490,I,SOL,148.755901,46.7543819401109,0.005983468145132065,0.0,0.1,False
LS1_CB05:SOL2_D1510,I,SOL,150.753627,41.811820245841,0.0040578655898571014,0.0,0.1,False
LS1_CB05:SOL3_D1530,I,SOL,152.751353,47.9938509430683,0.004950258880853653,0.0,0.1,False
LS1_CB06:SOL1_D1554,I,SOL,155.128326,47.4743704993222,0.013134535402059555,0.0,0.1,False
LS1_CB06:SOL2_D1574,I,SOL,157.126052,46.0799776032039,0.002544838935136795,0.0,0.1,False
LS1_CB06:SOL3_D1594,I,SOL,159.123778,48.8468094953789,0.0048131681978702545,0.0,0.1,False
LS1_CB07:SOL1_D1618,I,SOL,161.50075,49.4209884202094,0.0030236318707466125,0.0,0.1,False
LS1_CB07:SOL2_D1637,I,SOL,163.498476,44.6546722618607,0.005978159606456757,0.0,0.1,False
LS1_CB07:SOL3_D1657,I,SOL,165.496202,50.4426956176216,0.0025432556867599487,0.0,0.1,False
LS1_CB08:SOL1_D1681,I,SOL,167.873175,48.9650404314232,0.002268608659505844,0.0,0.1,False
LS1_CB08:SOL2_D1701,I,SOL,169.870901,47.467953910536,0.014025438576936722,0.0,0.1,False
LS1_CB08:SOL3_D1721,I,SOL,171.868627,49.3773044955021,0.005636550486087799,0.0,0.1,False
LS1_CB09:SOL1_D1745,I,SOL,174.245599,51.3172607986444,0.003919005393981934,0.0,0.1,False
LS1_CB09:SOL2_D1765,I,SOL,176.243325,42.4673793790511,0.012640561908483505,0.0,0.1,False
LS1_CB09:SOL3_D1785,I,SOL,178.241051,51.6468325443006,0.00508483499288559,0.0,0.1,False
LS1_CB10:SOL1_D1809,I,SOL,180.618024,47.8661960829328,-0.0047431327402591705,0.0,0.1,False
LS1_CB10:SOL2_D1829,I,SOL,182.61575,45.8842928,0.007286388427019119,0.0,0.1,False
